year,IdealPointFP,ccode
2004,-0.1416665,70
2005,-0.08378715,70
2006,-0.1018652,70
2007,-0.1150498,70
2008,-0.1416315,70
2009,-0.1027486,70
2010,-0.02896484,70
2011,-0.08701707,70
2012,0.004672987,70
2013,-0.1572878,70
2014,-0.0787738,70
2015,-0.1554647,70
2016,-0.1102188,70
2017,0.04732376,70
2018,0.007331963,70
2019,-0.000676085,70
2020,-0.00384904,70
2021,-0.0406125,70
2022,-0.02674569,70
2023,-0.03087859,70
2024,-0.1447948,70
1995,0.09888105,80
1996,-0.05247554,80
1997,-0.1920156,80
1998,-0.4664352,80
1999,-0.372646,80
2000,-0.3177438,80
2001,-0.2536603,80
2002,-0.3701236,80
2003,-0.5451419,80
2004,-0.494962,80
2005,-0.4440642,80
2006,-0.4298733,80
2007,-0.3936738,80
2008,-0.2840422,80
2009,-0.3401577,80
2010,-0.4150805,80
2011,-0.3469495,80
2012,-0.4284595,80
2013,-0.4272829,80
2014,-0.3910178,80
2015,-0.3958314,80
2016,-0.2710495,80
2017,-0.4343894,80
2018,-0.2126993,80
2019,-0.2020036,80
2020,-0.3177798,80
2021,-0.3363443,80
2022,-0.3283958,80
2023,-0.3386647,80
2024,-0.2580483,80
1995,-0.2459569,90
1996,0.09208562,90
1997,-0.05111238,90
1998,0.003397019,90
1999,0.1185865,90
2000,0.07357518,90
2001,-0.01013306,90
2002,0.09201151,90
2003,0.1573292,90
2004,0.004226819,90
2005,0.05378191,90
2006,-0.08387517,90
2007,-0.1144526,90
2008,-0.1715791,90
2009,-0.1992155,90
2010,-0.139647,90
2011,-0.1996636,90
2012,-0.08709044,90
2013,-0.1320121,90
2014,-0.181579,90
2015,-0.2019021,90
2016,0.00722877,90
2017,0.06159703,90
2018,0.2337777,90
2019,0.09702099,90
2020,0.0813264,90
2021,-0.03207777,90
2022,0.1916616,90
2023,0.09942307,90
2024,0.1070704,90
1995,-0.1191317,91
1996,-0.07738774,91
1997,-0.1574257,91
1998,0.1247108,91
1999,-0.4750889,91
2000,-0.2760553,91
2001,-0.1998819,91
2002,-0.08811904,91
2003,0.2799116,91
2004,0.04844111,91
2005,0.08494369,91
2006,-0.06424023,91
2007,-0.1508426,91
2008,-0.1772196,91
2009,-0.2301725,91
2010,-0.1537664,91
2011,-0.04246749,91
2012,0.1081966,91
2013,-0.05477706,91
2014,0.03372781,91
2015,-0.04187523,91
2016,0.1014346,91
2017,0.09528018,91
2018,0.2059138,91
2019,0.1118607,91
2020,0.04732137,91
2021,0.000107876,91
2022,-0.07590501,91
2023,-0.2133788,91
2024,-0.1390768,91
1995,0.0487783,92
1996,-0.08589777,92
1997,-0.1938907,92
1998,-0.2388455,92
1999,-0.3055919,92
2000,-0.2231815,92
2001,-0.2960927,92
2002,-0.2250332,92
2003,0.0374662,92
2004,-0.09913611,92
2005,-0.07493939,92
2006,-0.2261369,92
2007,-0.2158187,92
2008,-0.08391413,92
2009,-0.1820872,92
2010,-0.1705194,92
2011,-0.009849708,92
2012,-0.03280929,92
2013,-0.3303596,92
2014,-0.4620722,92
2015,-0.4884285,92
2016,-0.4668548,92
2017,-0.4811745,92
2018,-0.440248,92
2019,-0.3279463,92
2020,-0.4044523,92
2021,-0.462576,92
2022,-0.5741311,92
2023,-0.2636119,92
2024,-0.2191081,92
1995,-0.0167028,93
1996,-0.08025331,93
1997,0.01802982,93
1998,0.1819967,93
1999,-0.03047666,93
2000,-0.08394466,93
2001,0.3262015,93
2002,-0.1042578,93
2003,0.03617138,93
2004,-0.01890842,93
2005,-0.04418648,93
2006,-0.07985994,93
2007,-0.6792813,93
2008,-0.8226155,93
2009,-1.05081,93
2010,-1.057587,93
2011,-1.420719,93
2012,-1.602872,93
2013,-1.471341,93
2014,-1.28927,93
2015,-1.488,93
2016,-1.377497,93
2017,-1.185201,93
2018,-1.524335,93
2019,-1.507083,93
2020,-1.55823,93
2021,-1.690862,93
2022,-1.452959,93
2023,-1.446592,93
2024,-1.548737,93
1995,-0.003617622,94
1996,-0.06721882,94
1997,-0.03847069,94
1998,-0.0992381,94
1999,-0.1918531,94
2000,-0.03177569,94
2001,-0.2448861,94
2002,-0.1462395,94
2003,0.08621502,94
2004,0.03154209,94
2005,0.02057458,94
2006,-0.2863435,94
2007,-0.1816655,94
2008,-0.1643851,94
2009,-0.1653385,94
2010,-0.2494273,94
2011,-0.1134686,94
2012,-0.1448588,94
2013,-0.1974675,94
2014,-0.1575844,94
2015,-0.2172636,94
2016,-0.1701884,94
2017,-0.203649,94
2018,-0.0792862,94
2019,-0.1190227,94
2020,-0.09186221,94
2021,-0.1279341,94
2022,-0.02759816,94
2023,-0.08757624,94
2024,0.05070565,94
1995,-0.03002511,95
1996,-0.2488568,95
1997,-0.3929749,95
1998,-0.2930882,95
1999,-0.2313705,95
2000,-0.3690129,95
2001,-0.2268226,95
2002,-0.2254973,95
2003,-0.3347592,95
2004,-0.2569552,95
2005,-0.2131292,95
2006,-0.1421122,95
2007,-0.1102303,95
2008,-0.07093089,95
2009,0.2141336,95
2010,0.2481712,95
2011,0.2324688,95
2012,0.2399989,95
2013,0.2049255,95
2014,0.05857554,95
2015,0.02817994,95
2016,-0.04121812,95
2017,-0.08681392,95
2018,0.03586842,95
2019,-0.06393686,95
2020,-0.0691563,95
2021,-0.1123963,95
2022,0.08130374,95
2023,0.002727731,95
2024,0.05295289,95
1995,-0.5342207,100
1996,-0.6193876,100
1997,-0.7074026,100
1998,-0.627432,100
1999,-0.3559663,100
2000,-0.2972883,100
2001,-0.2920874,100
2002,-0.2236108,100
2003,-0.2288772,100
2004,-0.4349756,100
2005,-0.4490059,100
2006,-0.2430468,100
2007,-0.1276602,100
2008,-0.1856013,100
2009,-0.1292951,100
2010,-0.1332737,100
2011,-0.04549324,100
2012,-0.05183184,100
2013,-0.08999054,100
2014,-0.1634619,100
2015,-0.1252381,100
2016,-0.175828,100
2017,-0.2044807,100
2018,-0.0828117,100
2019,0.05601263,100
2020,0.02824284,100
2021,-0.02797424,100
2022,-0.03610056,100
2023,-0.1916288,100
2024,-0.1935201,100
1995,-0.3202684,101
1996,-0.2266354,101
1997,-0.2559962,101
1998,-0.4116133,101
1999,-0.4744532,101
2000,-0.4672628,101
2001,-0.518454,101
2002,-0.5024368,101
2003,-0.4234262,101
2004,-0.9164546,101
2005,-1.084919,101
2006,-1.049738,101
2007,-1.033453,101
2008,-1.178062,101
2009,-1.187752,101
2010,-1.232267,101
2011,-1.795039,101
2012,-1.460058,101
2013,-1.439389,101
2014,-1.370989,101
2015,-1.537734,101
2016,-1.426001,101
2017,-1.442659,101
2018,-1.486843,101
2019,-1.650098,101
2020,-1.613718,101
2021,-1.775862,101
2022,-1.775862,101
2023,-1.775862,101
2024,-1.775862,101
1995,-0.3046414,110
1996,-0.3814233,110
1997,-0.3850404,110
1998,-0.4364612,110
1999,-0.3903299,110
2000,-0.4381003,110
2001,-0.4455136,110
2002,-0.510415,110
2003,-0.5723421,110
2004,-0.573517,110
2005,-0.5567772,110
2006,-0.4894548,110
2007,-0.5174973,110
2008,-0.608077,110
2009,-0.518879,110
2010,-0.5150598,110
2011,-0.5680648,110
2012,-0.6428629,110
2013,-0.6444105,110
2014,-0.718622,110
2015,-0.6085287,110
2016,-0.5215149,110
2017,-0.6272815,110
2018,-0.2180584,110
2019,-0.2357813,110
2020,-0.2136291,110
2021,-0.2153121,110
2022,-0.255549,110
2023,-0.282235,110
2024,-0.06297197,110
1995,-0.07270853,115
1996,-0.03661122,115
1997,-0.6279534,115
1998,-0.6804938,115
1999,-0.8077882,115
2000,-0.3801021,115
2001,-0.2831995,115
2002,-0.6699633,115
2003,-0.4715658,115
2004,-0.5699043,115
2005,-0.5722505,115
2006,-0.5889548,115
2007,-0.6006028,115
2008,-0.4630939,115
2009,-0.5488071,115
2010,-0.620335,115
2011,-0.6114005,115
2012,-0.6619657,115
2013,-0.6455783,115
2014,-0.6784647,115
2015,-0.6223655,115
2016,-0.703391,115
2017,-0.4707985,115
2018,-0.711887,115
2019,-0.681549,115
2020,-0.566323,115
2021,-0.4961315,115
2022,-0.2519466,115
2023,-0.1710935,115
2024,-0.04473393,115
1995,0.08932539,130
1996,-0.2122231,130
1997,-0.05530711,130
1998,-0.03842805,130
1999,-0.2852953,130
2000,-0.3348506,130
2001,-0.33136,130
2002,-0.3260951,130
2003,-0.3149017,130
2004,-0.3938067,130
2005,-0.2098656,130
2006,-0.3497387,130
2007,-0.4323862,130
2008,-0.5155102,130
2009,-0.6973313,130
2010,-0.6075195,130
2011,-1.300687,130
2012,-1.109197,130
2013,-1.359394,130
2014,-1.171397,130
2015,-1.010801,130
2016,-0.8714754,130
2017,-0.8959665,130
2018,-0.501286,130
2019,-0.4291609,130
2020,-0.4553107,130
2021,-0.2343945,130
2022,-0.05143913,130
2023,-0.1316651,130
2024,-0.06442166,130
1995,-0.1543292,135
1996,-0.1102132,135
1997,-0.1761997,135
1998,-0.09624465,135
1999,-0.1394344,135
2000,0.02419543,135
2001,0.01305426,135
2002,0.07756099,135
2003,0.05383309,135
2004,0.08373108,135
2005,-0.006132282,135
2006,-0.04483893,135
2007,-0.003347996,135
2008,-0.04614974,135
2009,-0.04691175,135
2010,-0.07010382,135
2011,-0.06602598,135
2012,-0.0793672,135
2013,-0.08403555,135
2014,-0.1149564,135
2015,-0.1837633,135
2016,-0.1348675,135
2017,-0.1657083,135
2018,-0.1311921,135
2019,-0.1789567,135
2020,-0.1962503,135
2021,-0.2902801,135
2022,-0.1711885,135
2023,-0.1536432,135
2024,-0.03505312,135
1995,-0.1661534,140
1996,-0.08228293,140
1997,-0.1261919,140
1998,-0.06669814,140
1999,0.0132958,140
2000,0.05160948,140
2001,0.01006617,140
2002,-0.02238177,140
2003,-0.05893234,140
2004,-0.06630625,140
2005,-0.1276248,140
2006,-0.1408261,140
2007,-0.1584375,140
2008,-0.1647525,140
2009,-0.3245795,140
2010,-0.4681884,140
2011,-0.5085595,140
2012,-0.4956436,140
2013,-0.5360979,140
2014,-0.6287106,140
2015,-0.5406579,140
2016,-0.4879405,140
2017,-0.2979854,140
2018,-0.05214461,140
2019,0.2586127,140
2020,0.2759122,140
2021,0.1338166,140
2022,0.09426,140
2023,-0.3112467,140
2024,-0.1824232,140
1995,-0.1236372,145
1996,-0.1118036,145
1997,-0.04060337,145
1998,-0.2074024,145
1999,-0.1509691,145
2000,-0.1081931,145
2001,-0.1472395,145
2002,-0.1704742,145
2003,-0.1323698,145
2004,-0.1629855,145
2005,-0.1392157,145
2006,-0.2920833,145
2007,-0.4082249,145
2008,-0.4074991,145
2009,-0.9170048,145
2010,-0.8535608,145
2011,-1.168903,145
2012,-1.516661,145
2013,-1.539128,145
2014,-1.167527,145
2015,-1.320389,145
2016,-1.424767,145
2017,-1.488812,145
2018,-1.300777,145
2019,-0.5637496,145
2020,-0.6912009,145
2021,-1.182721,145
2022,-1.009791,145
2023,-0.8924282,145
2024,-0.8516234,145
1995,0.1876162,150
1996,0.1318836,150
1997,-0.09118364,150
1998,0.03398199,150
1999,0.05623719,150
2000,0.1224279,150
2001,0.2159245,150
2002,-0.03054729,150
2003,-0.03299178,150
2004,-0.04738444,150
2005,-0.09821598,150
2006,-0.2093673,150
2007,-0.1467351,150
2008,-0.2733755,150
2009,-0.3213111,150
2010,-0.3375723,150
2011,-0.3705897,150
2012,-0.1690796,150
2013,0.1574412,150
2014,0.0657337,150
2015,0.003399246,150
2016,0.02029814,150
2017,-0.03917683,150
2018,-0.1238105,150
2019,-0.1870161,150
2020,-0.25853,150
2021,-0.2858237,150
2022,-0.172271,150
2023,-0.09851975,150
2024,0.3123829,150
1995,-0.1209302,155
1996,0.02662269,155
1997,0.01481966,155
1998,-0.1307916,155
1999,-0.03084789,155
2000,-0.01667186,155
2001,0.1556018,155
2002,-0.03673855,155
2003,0.01321157,155
2004,0.1160513,155
2005,-0.03434882,155
2006,-0.09796471,155
2007,-0.02325171,155
2008,-0.04323537,155
2009,-0.07405411,155
2010,-0.1167798,155
2011,-0.09147903,155
2012,-0.1959363,155
2013,-0.1791039,155
2014,-0.2486369,155
2015,-0.3257553,155
2016,-0.2668741,155
2017,-0.3281609,155
2018,-0.1124436,155
2019,-0.2042675,155
2020,-0.2044604,155
2021,-0.1678263,155
2022,0.02393372,155
2023,-0.0161926,155
2024,0.08991875,155
1995,0.9508724,160
1996,0.6731618,160
1997,0.5476731,160
1998,0.3883875,160
1999,0.3757835,160
2000,0.3189979,160
2001,0.3228342,160
2002,0.2872639,160
2003,0.2716173,160
2004,0.1750499,160
2005,0.1608209,160
2006,0.01069954,160
2007,0.02292008,160
2008,0.000683558,160
2009,-0.05192534,160
2010,0.03056555,160
2011,-0.03775561,160
2012,-0.1081346,160
2013,-0.1113562,160
2014,-0.1326744,160
2015,-0.1672398,160
2016,-0.1216764,160
2017,-0.1147032,160
2018,-0.01738365,160
2019,-0.1008781,160
2020,-0.094325,160
2021,-0.09194533,160
2022,-0.06294215,160
2023,-0.04351088,160
2024,0.2968933,160
1995,-0.1078508,165
1996,0.1034088,165
1997,0.03757964,165
1998,-0.0507775,165
1999,0.05147071,165
2000,0.06386014,165
2001,0.04968296,165
2002,0.05733358,165
2003,0.07303165,165
2004,0.04376653,165
2005,0.02383581,165
2006,-0.1120182,165
2007,-0.1374257,165
2008,-0.1376636,165
2009,-0.1437934,165
2010,-0.1185822,165
2011,-0.348534,165
2012,-0.3630437,165
2013,-0.3774068,165
2014,-0.4117488,165
2015,-0.4519339,165
